CYCLIC
INTERPOLATION LINEAR
TIME_UNITS yr
DATA_UNITS Pa
0.797260274 3863.94039633057
0.8 3806.08869110071
0.802739726 3805.05882814198
0.805479452 3802.75776217998
0.808219178 3799.47774667312
0.810958904 3783.18510710138
0.81369863 3856.02859537899
0.816438356 3825.77856771944
0.819178082 3778.25425598201
0.821917808 3785.98852938516
0.824657534 3862.09746392362
0.82739726 3810.38567197489
0.830136986 3787.22383427295
0.832876712 3769.45814538434
0.835616438 3799.81715941372
0.838356164 3763.39559267817
0.84109589 3777.82474314461
0.843835616 3814.06288401225
0.846575342 3849.30354421934
0.849315068 3733.37550450079
0.852054795 3706.1590125943
0.854794521 3695.53653630152
0.857534247 3698.50902365382
0.860273973 3668.88081631522
0.863013699 3652.21768439031
0.865753425 3640.20121797902
0.868493151 3763.08254823094
0.871232877 3686.34989241475
0.873972603 3794.2101176151
0.876712329 3824.66336032331
0.879452055 3664.7548139897
0.882191781 3709.30152157559
0.884931507 3833.95299507703
0.887671233 3911.45901156264
0.890410959 3904.72153096221
0.893150685 3776.05791226583
0.895890411 3765.73309878301
0.898630137 3661.41821232161
0.901369863 3699.48090185741
0.904109589 3783.17828023731
0.906849315 3715.00993530485
0.909589041 3668.91828421618
0.912328767 3659.74796137687
0.915068493 3687.14257568763
0.917808219 3711.74980424751
0.920547945 3699.48090185741
0.923287671 3641.28844762328
0.926027397 3697.01882819098
0.928767123 3646.33874565234
0.931506849 3631.15162574926
0.934246575 3563.16319046856
0.936986301 3718.26523367955
0.939726027 3709.30152157559
0.942465753 3715.00993530485
0.945205479 3723.95044176352
0.947945205 3679.70576217179
0.950684932 3704.39672803598
0.953424658 3709.30152157559
0.956164384 3763.34370438869
0.95890411 3651.37708288974
0.961643836 3572.76481282197
0.964383562 3522.51246756838
0.967123288 3663.08716216217
0.969863014 3699.48090185741
0.97260274 3718.26523367955
0.975342466 3760.95176351163
0.978082192 3739.30834302908
0.980821918 3716.63818722785
0.983561644 3683.84047922004
0.98630137 3576.24520151107
0.989041096 3735.27710802715
0.991780822 3672.24326426242
0.994520548 3652.21564882442
0.997260274 3699.48090185741
