# x_m, elev_m
1.835653463365841560e+02,2.815205095748744043e+03
1.839661440360090126e+02,2.815087836771260754e+03
1.843669417354338691e+02,2.814970577793777920e+03
1.847677394348587256e+02,2.814873707638746964e+03
1.851685371342835822e+02,2.814798627958105499e+03
1.855693348337084387e+02,2.814723548277463578e+03
1.859701325331332953e+02,2.814648468596822113e+03
1.863709302325581518e+02,2.814573388916180647e+03
1.867717279319830084e+02,2.814498309235539182e+03
1.871725256314078649e+02,2.814423229554897716e+03
1.875733233308327215e+02,2.814348149874255796e+03
1.879741210302575780e+02,2.814273070193614330e+03
1.883749187296824061e+02,2.814197990512972865e+03
1.887757164291072627e+02,2.814122910832331399e+03
1.891765141285321192e+02,2.814047831151689479e+03
1.895773118279569758e+02,2.813972751471048014e+03
1.899781095273818323e+02,2.813857397663977281e+03
1.903789072268066889e+02,2.813740511770138710e+03
1.907797049262315454e+02,2.813623625876300139e+03
1.911805026256564020e+02,2.813506739982461113e+03
1.915813003250812585e+02,2.813389854088622542e+03
1.919820980245061151e+02,2.813272968194783971e+03
1.923828957239309716e+02,2.813156082300945400e+03
1.927836934233558281e+02,2.813039196407106374e+03
1.931844911227806847e+02,2.812922310513267803e+03
1.935852888222055412e+02,2.812805424619429232e+03
1.939860865216303978e+02,2.812688538725590661e+03
1.943868842210552543e+02,2.812571652831751635e+03
1.947876819204801109e+02,2.812462576098845602e+03
1.951884796199049674e+02,2.812359682814376356e+03
1.955892773193298240e+02,2.812256789529907110e+03
1.959900750187546805e+02,2.812153896245437863e+03
1.963908727181795371e+02,2.812051002960968617e+03
1.967916704176043936e+02,2.811948109676499371e+03
1.971924681170292502e+02,2.811845216392030125e+03
1.975932658164541067e+02,2.811742323107560878e+03
1.979940635158789632e+02,2.811639429823091632e+03
1.983948612153038198e+02,2.811536536538622386e+03
1.987956589147286763e+02,2.811433643254153139e+03
1.991964566141535329e+02,2.811330749969683438e+03
1.995972543135783894e+02,2.811227865911176195e+03
1.999980520130032460e+02,2.811125015496961623e+03
2.003988497124281025e+02,2.811022165082746596e+03
2.007996474118529591e+02,2.810919314668532024e+03
2.012004451112778156e+02,2.810816464254316998e+03
2.016012428107026722e+02,2.810713613840101971e+03
2.020020405101275287e+02,2.810610763425887399e+03
2.024028382095523853e+02,2.810507913011672372e+03
2.028036359089772418e+02,2.810405062597457800e+03
2.032044336084020983e+02,2.810302212183242773e+03
2.036052313078269549e+02,2.810199361769027746e+03
2.040060290072518114e+02,2.810096511354813174e+03
2.044068267066766680e+02,2.809993660940598147e+03
2.048076244061015245e+02,2.809911147043682831e+03
2.052084221055263811e+02,2.809838526939348867e+03
2.056092198049512376e+02,2.809765906835014903e+03
2.060100175043760942e+02,2.809693286730680938e+03
2.064108152038009507e+02,2.809620666626347429e+03
2.068116129032258073e+02,2.809548046522013465e+03
2.072124106026506638e+02,2.809475426417679500e+03
2.076132083020755204e+02,2.809402806313345536e+03
2.080140060015003769e+02,2.809330186209011572e+03
2.084148037009252334e+02,2.809257566104677608e+03
2.088156014003500900e+02,2.809184946000344098e+03
2.092163990997749465e+02,2.809112325896010134e+03
2.096171967991998031e+02,2.809026251870364831e+03
2.100179944986246596e+02,2.808921380546297314e+03
2.104187921980495162e+02,2.808816509222229797e+03
2.108195898974743727e+02,2.808711637898162280e+03
2.112203875968992293e+02,2.808606766574094763e+03
2.116211852963240858e+02,2.808501895250027246e+03
2.120219829957489424e+02,2.808397023925959729e+03
2.124227806951737989e+02,2.808292152601892212e+03
2.128235783945986554e+02,2.808187281277824695e+03
2.132243760940235120e+02,2.808082409953757178e+03
2.136251737934483685e+02,2.807977538629689661e+03
2.140259714928732251e+02,2.807872667305622144e+03
2.144267691922980816e+02,2.807767795981554627e+03
2.148275668917229382e+02,2.807703721824358581e+03
2.152283645911477947e+02,2.807654360508661284e+03
2.156291622905726513e+02,2.807604999192963987e+03
2.160299599899975078e+02,2.807555637877266690e+03
2.164307576894223644e+02,2.807506276561568939e+03
2.168315553888472209e+02,2.807456915245871642e+03
2.172323530882720775e+02,2.807407553930174345e+03
2.176331507876969340e+02,2.807358192614477048e+03
2.180339484871217905e+02,2.807308831298779751e+03
2.184347461865466471e+02,2.807259469983082454e+03
2.188355438859715036e+02,2.807210108667385157e+03
2.192363415853963602e+02,2.807160747351687405e+03
2.196371392848212167e+02,2.807113536025618487e+03
2.200379369842460733e+02,2.807069876145506896e+03
2.204387346836709298e+02,2.807026216265395306e+03
2.208395323830957864e+02,2.806982556385283715e+03
2.212403300825206429e+02,2.806938896505172124e+03
2.216411277819454995e+02,2.806895236625060534e+03
2.220419254813703560e+02,2.806851576744948943e+03
2.224427231807951841e+02,2.806807916864837352e+03
2.228435208802200407e+02,2.806764256984725307e+03
2.232443185796448972e+02,2.806720597104613717e+03
2.236451162790697538e+02,2.806676937224502126e+03
2.240459139784946103e+02,2.806633277344390535e+03
2.244467116779194669e+02,2.806589617464278945e+03
2.248475093773443234e+02,2.806508063638948897e+03
2.252483070767691800e+02,2.806415804237777593e+03
2.256491047761940365e+02,2.806323544836606288e+03
2.260499024756188930e+02,2.806231285435434984e+03
2.264507001750437496e+02,2.806139026034263679e+03
2.268514978744686061e+02,2.806046766633092375e+03
2.272522955738934627e+02,2.805954507231921070e+03
2.276530932733183192e+02,2.805862247830749766e+03
2.280538909727431758e+02,2.805769988429578007e+03
2.284546886721680323e+02,2.805677729028406702e+03
2.288554863715928889e+02,2.805585469627235398e+03
2.292562840710177454e+02,2.805493210226064093e+03
2.296570817704426020e+02,2.805399951433836122e+03
2.300578794698674585e+02,2.805305812220817643e+03
2.304586771692923151e+02,2.805211673007799618e+03
2.308594748687171716e+02,2.805117533794781593e+03
2.312602725681420281e+02,2.805023394581763569e+03
2.316610702675668847e+02,2.804929255368745089e+03
2.320618679669917412e+02,2.804835116155727064e+03
2.324626656664165978e+02,2.804740976942709040e+03
