# x_m, elev_m
7.364170270270269612e+02,2.766663143478308484e+03
7.380214214214214508e+02,2.767108626609459407e+03
7.396258158158158267e+02,2.767554070189772574e+03
7.412302102102102026e+02,2.767998304592714703e+03
7.428346046046045785e+02,2.768442538995656832e+03
7.444389989989989544e+02,2.768886773398599416e+03
7.460433933933933304e+02,2.769253343566178955e+03
7.476477877877878200e+02,2.769613635218894160e+03
7.492521821821821959e+02,2.769973926871608910e+03
7.508565765765765718e+02,2.770322140869491250e+03
7.524609709709709477e+02,2.770665963282466691e+03
7.540653653653653237e+02,2.771009785695442133e+03
7.556697597597596996e+02,2.771397002565077855e+03
7.572741541541541892e+02,2.771802070832698973e+03
7.588785485485485651e+02,2.772207139100320546e+03
7.604829429429429410e+02,2.772622037496046232e+03
7.620873373373373170e+02,2.773042893855008515e+03
7.636917317317316929e+02,2.773463750213970343e+03
7.652961261261260688e+02,2.773846677042801730e+03
7.669005205205204447e+02,2.774193151318634136e+03
7.685049149149149343e+02,2.774539625594466088e+03
7.701093093093093103e+02,2.774887113917702209e+03
7.717137037037036862e+02,2.775236899614546928e+03
7.733180980980980621e+02,2.775586685311391193e+03
7.749224924924924380e+02,2.775906807690043024e+03
7.765268868868868140e+02,2.776149039784882916e+03
7.781312812812813036e+02,2.776391271879722808e+03
7.797356756756756795e+02,2.776635462481114700e+03
7.813400700700700554e+02,2.776897878955560373e+03
7.829444644644644313e+02,2.777160295430005590e+03
7.845488588588588073e+02,2.777436778391104326e+03
7.861532532532531832e+02,2.777861720991149923e+03
7.877576476476476728e+02,2.778286663591195520e+03
7.893620420420420487e+02,2.778711606191241117e+03
7.909664364364364246e+02,2.779163546096337541e+03
7.925708308308308006e+02,2.779618167498285857e+03
7.941752252252251765e+02,2.780072788900234627e+03
7.957796196196195524e+02,2.780516241945374531e+03
7.973840140140140420e+02,2.780957043990600141e+03
7.989884084084084179e+02,2.781397846035825296e+03
8.005928028028027938e+02,2.781849598854583746e+03
8.021971971971971698e+02,2.782308369103234327e+03
8.038015915915915457e+02,2.782767139351884907e+03
8.054059859859859216e+02,2.783261962618355938e+03
8.070103803803804112e+02,2.783787993567337708e+03
8.086147747747747871e+02,2.784314024516319478e+03
8.102191691691691631e+02,2.784810707069388172e+03
8.118235635635635390e+02,2.785272427195311138e+03
8.134279579579579149e+02,2.785734147321234104e+03
8.150323523523522908e+02,2.786193451444682523e+03
8.166367467467467804e+02,2.786649752953032475e+03
8.182411411411411564e+02,2.787106054461382428e+03
8.198455355355355323e+02,2.787572421407714501e+03
